Student_Name,Register_Number,Fees_Details,Fees_Status,Attendance_Percentage,Books_Borrowed,Scholarship_Eligibility,Contact_Number,Email_ID,Date_of_Birth,Faculty,CGPA,College_Joining_Date,Major,Emergency_Contact,Guardian_Name,Hostel_Room,Transportation_Mode,LinkedIn_Profile,Internship_Status,Year_of_Passing,Hobbies,Blood_Group,Nationality
Badal Dyal,REG1091,Partial Payment,Due,95.27,No,Eligible,232415149,cbhavsar@dara.com,2006-05-08,Science,7.36,2025-04-11,Mechanical,9303007653,Parent of Badal Dyal,H154,Walk,https://linkedin.com/in/badal-dyal,Not Started,2029,"Sports, Drawing",O-,Indian
Krish Andra,REG1092,Partial Payment,Due,97.52,Yes,Not Eligible,4558947412,shanayaseth@sarin.com,2000-06-06,Science,8.09,2018-03-28,AI & DS,9476628725,Parent of Krish Andra,H226,Walk,https://linkedin.com/in/krish-andra,Not Started,2022,"Drawing, Coding",O-,Indian
Mohanlal Sunder,REG1093,Paid in Full,No Due,60.49,Yes,Eligible,3335617805,veer73@gmail.com,2001-12-13,Arts,5.13,2021-01-10,Information Technology,9121157602,Parent of Mohanlal Sunder,H103,Bike,https://linkedin.com/in/mohanlal-sunder,Completed,2025,"Music, Reading",B+,Indian
Indrans Char,REG1094,Partial Payment,Due,72.52,Yes,Eligible,6298772795,dravi@hotmail.com,2001-07-15,Science,7.34,2019-12-21,Mechanical,9297573050,Parent of Indrans Char,H51,Bike,https://linkedin.com/in/indrans-char,Not Started,2023,"Coding, Photography",B+,Indian
Mohanlal Bajaj,REG1095,Paid in Full,No Due,78.31,Yes,Eligible,8595084192,chhabraivana@iyengar.com,2003-01-04,Arts,6.04,2022-01-20,Mechanical,9771562782,Parent of Mohanlal Bajaj,H283,Bike,https://linkedin.com/in/mohanlal-bajaj,Completed,2026,"Music, Reading",AB+,Indian
Riya Bajaj,REG1096,Pending,Due,64.34,Yes,Not Eligible,4995973031,pkrishnamurthy@gmail.com,2007-01-17,Engineering,7.39,2027-03-27,Information Technology,9214020852,Parent of Riya Bajaj,H353,Bus,https://linkedin.com/in/riya-bajaj,Not Started,2031,"Travel, Sports",O+,Indian
Tejas Sabharwal,REG1097,Pending,Due,91.59,No,Eligible,8281366470,nirvisalvi@gmail.com,2003-10-28,Arts,7.2,2022-12-28,Civil,9858749299,Parent of Tejas Sabharwal,H300,Car,https://linkedin.com/in/tejas-sabharwal,Completed,2026,"Sports, Music",B-,Indian
Tejas Ahluwalia,REG1098,Partial Payment,Due,88.2,No,Not Eligible,6616062222,jivika88@yahoo.com,2002-10-28,Engineering,5.73,2021-08-15,Civil,9673685254,Parent of Tejas Ahluwalia,H255,Bike,https://linkedin.com/in/tejas-ahluwalia,Not Started,2025,"Music, Travel",AB+,Indian
Indranil Chand,REG1099,Pending,Due,73.9,No,Not Eligible,8728154492,kadakiaseher@kari.com,2007-06-26,Engineering,5.64,2026-09-02,Computer Science,9573280107,Parent of Indranil Chand,H108,Car,https://linkedin.com/in/indranil-chand,Not Started,2030,"Drawing, Coding",B-,Indian
Himmat Dora,REG1100,Pending,Due,98.1,No,Not Eligible,8091961363,oyogi@gmail.com,2001-08-10,Engineering,6.88,2020-03-03,Mechanical,9352952857,Parent of Himmat Dora,H358,Walk,https://linkedin.com/in/himmat-dora,Ongoing,2024,"Music, Drawing",A-,Indian
Shanaya Wagle,REG1101,Paid in Full,No Due,68.13,No,Not Eligible,1426537985,balakrishnanaarna@shenoy-suri.com,2001-03-26,Engineering,7.04,2019-05-04,Electronics,9255527605,Parent of Shanaya Wagle,H106,Walk,https://linkedin.com/in/shanaya-wagle,Completed,2023,"Travel, Drawing",O-,Indian
Eva Apte,REG1102,Pending,Due,73.09,Yes,Eligible,910702709779,vaggarwal@yahoo.com,2001-03-04,Science,5.9,2020-03-17,Mechanical,9787847694,Parent of Eva Apte,H195,Bike,https://linkedin.com/in/eva-apte,Ongoing,2024,"Travel, Travel",AB+,Indian
Jayan Doshi,REG1103,Paid in Full,No Due,65.36,No,Not Eligible,3739896249,yapte@guha-sule.biz,2008-01-22,Arts,8.15,2028-07-16,Computer Science,9230438896,Parent of Jayan Doshi,H397,Bus,https://linkedin.com/in/jayan-doshi,Completed,2032,"Drawing, Sports",A+,Indian
Bhavin Gara,REG1104,Partial Payment,Due,74.9,Yes,Not Eligible,919450133295,jbath@dhingra.com,2002-01-29,Science,9.76,2021-08-13,Civil,9459299019,Parent of Bhavin Gara,H20,Car,https://linkedin.com/in/bhavin-gara,Not Started,2025,"Sports, Drawing",B-,Indian
Jhanvi Batra,REG1105,Pending,Due,99.62,No,Not Eligible,8952533009,khushithaman@hotmail.com,2004-03-18,Science,9.15,2022-02-02,Computer Science,9926670983,Parent of Jhanvi Batra,H484,Car,https://linkedin.com/in/jhanvi-batra,Completed,2026,"Reading, Coding",AB-,Indian
Shamik Sarkar,REG1106,Partial Payment,Due,96.32,No,Not Eligible,3880182559,solankireyansh@yahoo.com,2004-02-29,Engineering,7.91,2022-09-15,AI & DS,9292753214,Parent of Shamik Sarkar,H215,Bike,https://linkedin.com/in/shamik-sarkar,Not Started,2026,"Sports, Drawing",AB+,Indian
Nehmat Devi,REG1107,Partial Payment,Due,66.28,Yes,Not Eligible,3297142276,overma@goda.biz,2005-09-29,Arts,5.18,2023-07-28,Mechanical,9144452883,Parent of Nehmat Devi,H384,Car,https://linkedin.com/in/nehmat-devi,Not Started,2027,"Drawing, Coding",B-,Indian
Rasha Sha,REG1108,Partial Payment,Due,91.71,Yes,Eligible,4748715449,samiha59@barad.com,2003-06-20,Science,9.42,2021-06-03,Computer Science,9279290223,Parent of Rasha Sha,H224,Car,https://linkedin.com/in/rasha-sha,Completed,2025,"Reading, Coding",AB-,Indian
Ahana  Comar,REG1109,Pending,Due,76.66,No,Eligible,917112812955,misha94@gmail.com,2003-05-02,Science,9.34,2022-10-06,Computer Science,9270454099,Parent of Ahana  Comar,H100,Car,https://linkedin.com/in/ahana--comar,Ongoing,2026,"Travel, Travel",B-,Indian
Damini Dugal,REG1110,Pending,Due,69.42,Yes,Not Eligible,9984457565,elaupadhyay@swamy.com,2004-09-03,Engineering,8.86,2024-09-19,Information Technology,9874050827,Parent of Damini Dugal,H328,Car,https://linkedin.com/in/damini-dugal,Not Started,2028,"Drawing, Coding",B-,Indian
Shayak Ram,REG1111,Paid in Full,No Due,97.43,No,Eligible,913643530493,onkartak@hotmail.com,2000-04-09,Engineering,5.89,2019-10-21,AI & DS,9822103005,Parent of Shayak Ram,H6,Walk,https://linkedin.com/in/shayak-ram,Ongoing,2023,"Music, Drawing",O-,Indian
Yasmin Krishnamurthy,REG1112,Partial Payment,Due,82.29,No,Eligible,913132490932,cmannan@madan-bains.com,2000-03-31,Arts,9.42,2019-02-05,Civil,9333365473,Parent of Yasmin Krishnamurthy,H474,Walk,https://linkedin.com/in/yasmin-krishnamurthy,Not Started,2023,"Drawing, Coding",A-,Indian
Trisha Varkey,REG1113,Pending,Due,81.0,Yes,Not Eligible,917348594250,ivarghese@hotmail.com,2001-07-06,Arts,9.54,2019-07-28,Civil,9244991804,Parent of Trisha Varkey,H305,Bus,https://linkedin.com/in/trisha-varkey,Not Started,2023,"Reading, Reading",O+,Indian
Amira Cherian,REG1114,Paid in Full,No Due,70.73,Yes,Eligible,693893620,ymajumdar@hotmail.com,2005-12-29,Science,7.96,2024-01-28,Electronics,9948343216,Parent of Amira Cherian,H217,Bus,https://linkedin.com/in/amira-cherian,Not Started,2028,"Reading, Reading",A+,Indian
Eshani Ramesh,REG1115,Partial Payment,Due,75.55,No,Not Eligible,8264701551,sdoctor@hotmail.com,2002-04-02,Arts,5.66,2020-06-09,Electronics,9868330735,Parent of Eshani Ramesh,H236,Car,https://linkedin.com/in/eshani-ramesh,Ongoing,2024,"Photography, Coding",AB-,Indian
Hansh Kumer,REG1116,Partial Payment,Due,85.96,No,Eligible,8044576190,biju91@gmail.com,2007-08-23,Science,6.7,2026-03-08,Mechanical,9970649280,Parent of Hansh Kumer,H281,Bus,https://linkedin.com/in/hansh-kumer,Ongoing,2030,"Drawing, Photography",A+,Indian
Kimaya Borde,REG1117,Pending,Due,73.45,No,Eligible,911157469213,aggarwalpiya@tella.com,2004-07-11,Engineering,8.17,2024-04-28,Mechanical,9205606139,Parent of Kimaya Borde,H140,Car,https://linkedin.com/in/kimaya-borde,Completed,2028,"Sports, Music",B-,Indian
Alia Bali,REG1118,Paid in Full,No Due,71.98,No,Eligible,3724554427,hiran36@halder-garde.biz,2003-01-25,Engineering,6.98,2022-01-16,AI & DS,9872188682,Parent of Alia Bali,H183,Bike,https://linkedin.com/in/alia-bali,Not Started,2026,"Reading, Reading",B+,Indian
Tushar Sathe,REG1119,Pending,Due,96.33,Yes,Not Eligible,910131437329,umang06@sibal-atwal.com,2003-02-27,Science,7.56,2021-06-07,Computer Science,9828038975,Parent of Tushar Sathe,H476,Car,https://linkedin.com/in/tushar-sathe,Completed,2025,"Sports, Music",AB-,Indian
Azad Sen,REG1120,Pending,Due,89.0,No,Not Eligible,1091738169,bhatnagarsana@yahoo.com,2000-08-27,Science,7.41,2020-04-10,Electronics,9437645768,Parent of Azad Sen,H269,Bus,https://linkedin.com/in/azad-sen,Ongoing,2024,"Drawing, Photography",A+,Indian
Indrans Vora,REG1121,Paid in Full,No Due,88.19,No,Eligible,915198934149,vivaanshanker@hotmail.com,2001-10-13,Science,8.37,2021-03-09,AI & DS,9595229526,Parent of Indrans Vora,H27,Bike,https://linkedin.com/in/indrans-vora,Ongoing,2025,"Music, Drawing",AB+,Indian
Mahika Salvi,REG1122,Paid in Full,No Due,70.76,No,Eligible,6831154057,madhav63@sem.com,2007-10-19,Science,7.47,2028-01-20,Civil,9254995040,Parent of Mahika Salvi,H41,Bus,https://linkedin.com/in/mahika-salvi,Ongoing,2032,"Coding, Sports",A+,Indian
Pranay Lalla,REG1123,Pending,Due,85.55,No,Eligible,914625305846,xviswanathan@sur.com,2003-05-16,Science,7.12,2022-06-19,AI & DS,9346794302,Parent of Pranay Lalla,H303,Bike,https://linkedin.com/in/pranay-lalla,Completed,2026,"Sports, Music",AB+,Indian
Farhan Gill,REG1124,Paid in Full,No Due,87.84,Yes,Eligible,4963323498,sarnasuhana@tandon.com,2003-11-08,Engineering,6.76,2021-10-08,Computer Science,9700056823,Parent of Farhan Gill,H324,Car,https://linkedin.com/in/farhan-gill,Ongoing,2025,"Sports, Reading",AB-,Indian
Dhruv Gulati,REG1125,Paid in Full,No Due,60.62,Yes,Not Eligible,910583785692,bsen@hotmail.com,2005-06-15,Science,5.1,2025-09-10,Mechanical,9402769265,Parent of Dhruv Gulati,H266,Walk,https://linkedin.com/in/dhruv-gulati,Completed,2029,"Travel, Drawing",A-,Indian
Misha Kashyap,REG1126,Pending,Due,98.9,Yes,Eligible,916634000276,mohanlal96@yahoo.com,2004-06-09,Science,8.22,2023-01-14,Electronics,9535613022,Parent of Misha Kashyap,H23,Bike,https://linkedin.com/in/misha-kashyap,Not Started,2027,"Reading, Reading",AB+,Indian
Kartik Halder,REG1127,Paid in Full,No Due,77.39,Yes,Eligible,6139215377,farhan25@gmail.com,2005-04-21,Engineering,6.65,2024-03-01,Computer Science,9996121128,Parent of Kartik Halder,H129,Bus,https://linkedin.com/in/kartik-halder,Not Started,2028,"Music, Travel",A+,Indian
Elakshi Krishnan,REG1128,Partial Payment,Due,89.57,No,Eligible,919990671381,kaira92@bora.com,2002-05-28,Engineering,8.01,2022-06-22,Electronics,9237045914,Parent of Elakshi Krishnan,H415,Bike,https://linkedin.com/in/elakshi-krishnan,Completed,2026,"Coding, Travel",B+,Indian
Devansh Varughese,REG1129,Paid in Full,No Due,88.82,No,Not Eligible,5310747083,ldutta@gopal.biz,2006-04-09,Engineering,7.14,2025-05-09,AI & DS,9920441839,Parent of Devansh Varughese,H340,Car,https://linkedin.com/in/devansh-varughese,Ongoing,2029,"Music, Drawing",AB-,Indian
Rohan Bandi,REG1130,Partial Payment,Due,66.82,No,Eligible,910086686097,aaryahidasgupta@saxena-barad.com,2003-05-02,Engineering,6.12,2021-02-18,Computer Science,9943937619,Parent of Rohan Bandi,H120,Car,https://linkedin.com/in/rohan-bandi,Not Started,2025,"Music, Travel",B-,Indian
Ivana Thaman,REG1131,Paid in Full,No Due,88.59,Yes,Not Eligible,7511576380,kakarnayantara@yahoo.com,2003-04-06,Science,7.6,2022-10-14,Computer Science,9331485637,Parent of Ivana Thaman,H138,Walk,https://linkedin.com/in/ivana-thaman,Completed,2026,"Photography, Photography",O-,Indian
Ira Deep,REG1132,Paid in Full,No Due,78.9,No,Eligible,916230426623,kashvisingh@yahoo.com,2001-04-30,Science,9.7,2020-08-04,Civil,9226002303,Parent of Ira Deep,H304,Car,https://linkedin.com/in/ira-deep,Completed,2024,"Reading, Coding",AB-,Indian
Drishya Rajagopal,REG1133,Partial Payment,Due,76.14,No,Eligible,8575970177,gkhatri@shanker.com,2005-03-26,Arts,6.62,2023-03-01,Information Technology,9911627221,Parent of Drishya Rajagopal,H222,Walk,https://linkedin.com/in/drishya-rajagopal,Not Started,2027,"Photography, Music",O-,Indian
Rania Hayer,REG1134,Pending,Due,82.05,No,Not Eligible,3213333788,miraan00@gmail.com,2004-11-11,Engineering,8.57,2023-04-30,Civil,9400813349,Parent of Rania Hayer,H350,Walk,https://linkedin.com/in/rania-hayer,Completed,2027,"Photography, Photography",O-,Indian
Aarush Cherian,REG1135,Pending,Due,85.76,No,Eligible,915599701881,dhingrarenee@gmail.com,2005-06-07,Science,8.05,2024-09-26,Electronics,9839955371,Parent of Aarush Cherian,H372,Car,https://linkedin.com/in/aarush-cherian,Ongoing,2028,"Sports, Reading",B-,Indian
Tejas Kapoor,REG1136,Pending,Due,79.93,Yes,Not Eligible,1462648764,yakshit12@gmail.com,2005-11-25,Arts,8.63,2024-08-23,Civil,9677547171,Parent of Tejas Kapoor,H172,Car,https://linkedin.com/in/tejas-kapoor,Ongoing,2028,"Photography, Coding",B-,Indian
Kaira Upadhyay,REG1137,Paid in Full,No Due,65.36,Yes,Eligible,2956751874,hrishitabora@amble.net,2005-08-21,Engineering,8.87,2024-10-09,AI & DS,9935762557,Parent of Kaira Upadhyay,H58,Walk,https://linkedin.com/in/kaira-upadhyay,Not Started,2028,"Reading, Reading",O-,Indian
Vaibhav Vora,REG1138,Partial Payment,Due,84.17,Yes,Not Eligible,9916687059,tiyaborde@yahoo.com,2000-02-28,Arts,9.32,2019-06-15,Civil,9624906282,Parent of Vaibhav Vora,H283,Bike,https://linkedin.com/in/vaibhav-vora,Ongoing,2023,"Photography, Coding",B+,Indian
Jivin Divan,REG1139,Paid in Full,No Due,82.18,No,Not Eligible,9964080442,gdave@bakshi-taneja.info,2007-09-10,Science,5.62,2026-12-29,Mechanical,9247328617,Parent of Jivin Divan,H118,Walk,https://linkedin.com/in/jivin-divan,Not Started,2030,"Music, Travel",A-,Indian
Rania Ganesan,REG1140,Partial Payment,Due,93.45,Yes,Eligible,915920370605,deouthkarsh@hotmail.com,2004-03-01,Engineering,8.93,2023-01-06,AI & DS,9430007128,Parent of Rania Ganesan,H129,Bus,https://linkedin.com/in/rania-ganesan,Ongoing,2027,"Music, Drawing",A+,Indian
Jhanvi Sastry,REG1141,Pending,Due,92.67,No,Not Eligible,1720033797,mahaladira@hotmail.com,2003-03-12,Engineering,6.28,2022-05-20,Computer Science,9226880598,Parent of Jhanvi Sastry,H99,Bike,https://linkedin.com/in/jhanvi-sastry,Not Started,2026,"Reading, Reading",AB+,Indian
Kabir Dhaliwal,REG1142,Partial Payment,Due,87.8,No,Not Eligible,226392701,ritvikdhar@gmail.com,2005-08-01,Engineering,8.31,2025-01-19,Civil,9631453634,Parent of Kabir Dhaliwal,H135,Bike,https://linkedin.com/in/kabir-dhaliwal,Ongoing,2029,"Drawing, Photography",B+,Indian
Hunar Sani,REG1143,Pending,Due,86.65,No,Eligible,980086744,eraj@hotmail.com,2006-09-01,Engineering,8.99,2025-04-07,Civil,9364908258,Parent of Hunar Sani,H259,Bike,https://linkedin.com/in/hunar-sani,Not Started,2029,"Sports, Drawing",B+,Indian
Kiara Brahmbhatt,REG1144,Pending,Due,81.97,No,Eligible,912120044843,kanavbassi@gmail.com,2000-02-19,Arts,5.75,2020-02-16,Mechanical,9385844229,Parent of Kiara Brahmbhatt,H230,Walk,https://linkedin.com/in/kiara-brahmbhatt,Not Started,2024,"Drawing, Coding",O-,Indian
Tiya Bhargava,REG1145,Paid in Full,No Due,69.27,Yes,Eligible,6440494877,wsidhu@hotmail.com,2003-03-13,Arts,6.41,2021-09-15,Civil,9894487911,Parent of Tiya Bhargava,H412,Car,https://linkedin.com/in/tiya-bhargava,Not Started,2025,"Photography, Music",AB-,Indian
Dhruv Rau,REG1146,Partial Payment,Due,75.71,No,Not Eligible,8894048661,akarshbhardwaj@gandhi.biz,2006-05-31,Engineering,6.96,2025-05-06,Information Technology,9459983330,Parent of Dhruv Rau,H331,Bike,https://linkedin.com/in/dhruv-rau,Completed,2029,"Music, Reading",B+,Indian
Seher Anne,REG1147,Paid in Full,No Due,87.7,Yes,Not Eligible,3326863141,dinonkar@hotmail.com,2000-12-07,Science,9.34,2018-12-10,Information Technology,9088663720,Parent of Seher Anne,H221,Bus,https://linkedin.com/in/seher-anne,Ongoing,2022,"Music, Drawing",A+,Indian
Veer Singh,REG1148,Paid in Full,No Due,87.33,Yes,Not Eligible,916850821911,aniruddhwason@yahoo.com,2004-11-23,Engineering,7.58,2024-04-03,Computer Science,9090644373,Parent of Veer Singh,H374,Walk,https://linkedin.com/in/veer-singh,Not Started,2028,"Sports, Drawing",O-,Indian
Ivan Kara,REG1149,Paid in Full,No Due,90.22,No,Eligible,914773146895,kiaan20@kapadia.com,2004-03-24,Engineering,6.61,2022-08-19,Computer Science,9813882329,Parent of Ivan Kara,H330,Walk,https://linkedin.com/in/ivan-kara,Not Started,2026,"Reading, Reading",A-,Indian
Anika Char,REG1150,Paid in Full,No Due,89.16,Yes,Eligible,911692765688,kimayamadan@hotmail.com,2004-08-04,Arts,8.75,2022-11-08,Computer Science,9912548938,Parent of Anika Char,H439,Bike,https://linkedin.com/in/anika-char,Ongoing,2026,"Coding, Sports",B+,Indian
Seher Ben,REG1151,Paid in Full,No Due,92.97,No,Eligible,918757852215,miraansrivastava@loyal.com,2005-07-01,Engineering,5.79,2025-05-07,AI & DS,9802907415,Parent of Seher Ben,H416,Car,https://linkedin.com/in/seher-ben,Completed,2029,"Reading, Coding",AB-,Indian
Shalv Wagle,REG1152,Pending,Due,78.68,No,Not Eligible,8250315865,uchauhan@hayre.org,2003-09-26,Arts,6.21,2024-04-06,Mechanical,9393228620,Parent of Shalv Wagle,H121,Bus,https://linkedin.com/in/shalv-wagle,Ongoing,2028,"Photography, Coding",O+,Indian
Kashvi Borah,REG1153,Paid in Full,No Due,76.48,Yes,Eligible,919352661855,ukanda@kapur-rattan.com,2006-05-19,Science,8.27,2024-06-09,Information Technology,9165095624,Parent of Kashvi Borah,H125,Bus,https://linkedin.com/in/kashvi-borah,Not Started,2028,"Coding, Photography",A+,Indian
Nehmat Boase,REG1154,Pending,Due,94.61,Yes,Not Eligible,1871018534,dubeyritvik@hotmail.com,2007-05-22,Engineering,5.98,2025-06-24,Electronics,9459910519,Parent of Nehmat Boase,H20,Car,https://linkedin.com/in/nehmat-boase,Not Started,2029,"Travel, Sports",AB-,Indian
Ela Bora,REG1155,Partial Payment,Due,88.0,Yes,Eligible,3060291875,ichoudhry@viswanathan.com,2001-03-31,Science,6.26,2020-10-26,Information Technology,9612603295,Parent of Ela Bora,H296,Car,https://linkedin.com/in/ela-bora,Ongoing,2024,"Travel, Travel",AB-,Indian
Priyansh Wadhwa,REG1156,Pending,Due,76.51,No,Eligible,8970395229,aarna90@yahoo.com,2000-10-01,Arts,6.9,2018-12-05,Computer Science,9266232951,Parent of Priyansh Wadhwa,H452,Car,https://linkedin.com/in/priyansh-wadhwa,Not Started,2022,"Drawing, Coding",AB-,Indian
Renee Keer,REG1157,Partial Payment,Due,81.63,Yes,Not Eligible,3088967090,dahluwalia@gmail.com,2004-04-05,Arts,8.27,2023-10-24,Information Technology,9354573522,Parent of Renee Keer,H23,Bike,https://linkedin.com/in/renee-keer,Not Started,2027,"Music, Travel",B+,Indian
Aradhya Yadav,REG1158,Pending,Due,78.13,No,Eligible,912066980986,manjarikalita@mani.com,2001-05-26,Engineering,5.85,2019-03-13,Civil,9478251584,Parent of Aradhya Yadav,H85,Bus,https://linkedin.com/in/aradhya-yadav,Completed,2023,"Photography, Photography",A+,Indian
Jiya Borra,REG1159,Pending,Due,82.83,Yes,Eligible,3698191652,asridhar@gmail.com,2001-03-23,Engineering,9.03,2021-06-15,Electronics,9831272465,Parent of Jiya Borra,H466,Walk,https://linkedin.com/in/jiya-borra,Not Started,2025,"Sports, Drawing",A-,Indian
Dharmajan Dhillon,REG1160,Partial Payment,Due,73.13,Yes,Not Eligible,916189584161,lakshaygola@gmail.com,2006-02-08,Engineering,6.32,2026-07-09,AI & DS,9039413694,Parent of Dharmajan Dhillon,H195,Bike,https://linkedin.com/in/dharmajan-dhillon,Ongoing,2030,"Sports, Reading",AB+,Indian
Dhruv Rama,REG1161,Paid in Full,No Due,69.48,No,Eligible,912886491771,zramaswamy@rattan.com,2005-03-02,Science,9.56,2025-08-10,Computer Science,9750254042,Parent of Dhruv Rama,H43,Bike,https://linkedin.com/in/dhruv-rama,Not Started,2029,"Drawing, Coding",B+,Indian
Vardaniya Tata,REG1162,Partial Payment,Due,99.96,No,Eligible,4816722293,hkalita@ray.info,2000-02-07,Arts,6.79,2018-09-20,Information Technology,9879242378,Parent of Vardaniya Tata,H379,Bike,https://linkedin.com/in/vardaniya-tata,Not Started,2022,"Photography, Music",B+,Indian
Tushar Chauhan,REG1163,Pending,Due,83.88,No,Not Eligible,919955893749,riaanrau@kant.com,2004-02-06,Arts,5.67,2022-05-03,Electronics,9201396655,Parent of Tushar Chauhan,H156,Car,https://linkedin.com/in/tushar-chauhan,Ongoing,2026,"Music, Drawing",AB-,Indian
Indranil Deol,REG1164,Partial Payment,Due,60.82,No,Eligible,587439896,bhatnagarkartik@gmail.com,2003-04-28,Arts,5.62,2021-03-21,Information Technology,9376852696,Parent of Indranil Deol,H197,Bus,https://linkedin.com/in/indranil-deol,Ongoing,2025,"Reading, Music",A+,Indian
Sana Ahluwalia,REG1165,Paid in Full,No Due,96.19,No,Not Eligible,916001385188,ranbir86@gmail.com,2001-06-04,Engineering,7.2,2021-04-03,Civil,9003115863,Parent of Sana Ahluwalia,H364,Car,https://linkedin.com/in/sana-ahluwalia,Ongoing,2025,"Sports, Reading",AB-,Indian
Vardaniya Lala,REG1166,Pending,Due,87.06,No,Not Eligible,917945046907,romil95@gmail.com,2002-07-08,Science,7.85,2021-04-02,Information Technology,9716985032,Parent of Vardaniya Lala,H33,Bus,https://linkedin.com/in/vardaniya-lala,Not Started,2025,"Reading, Reading",A+,Indian
Anvi Bakshi,REG1167,Pending,Due,84.1,Yes,Not Eligible,915476922611,aarav11@dayal-chana.com,2004-08-01,Arts,8.27,2022-06-08,Mechanical,9661957066,Parent of Anvi Bakshi,H67,Bike,https://linkedin.com/in/anvi-bakshi,Completed,2026,"Reading, Coding",B+,Indian
Kanav Mandal,REG1168,Paid in Full,No Due,89.32,Yes,Eligible,1744843904,piyasibal@gmail.com,2003-07-26,Engineering,8.11,2023-12-04,Civil,9275215298,Parent of Kanav Mandal,H299,Bike,https://linkedin.com/in/kanav-mandal,Not Started,2027,"Coding, Photography",B+,Indian
Ojas Dewan,REG1169,Paid in Full,No Due,97.13,No,Not Eligible,9701093897,dkata@koshy.com,2001-05-30,Engineering,6.57,2020-11-15,Civil,9479181279,Parent of Ojas Dewan,H280,Car,https://linkedin.com/in/ojas-dewan,Not Started,2024,"Reading, Reading",AB-,Indian
Indrans Chopra,REG1170,Pending,Due,68.87,No,Eligible,6139882087,ckamdar@jha.com,2005-08-04,Science,6.83,2024-10-04,Civil,9493463508,Parent of Indrans Chopra,H9,Bus,https://linkedin.com/in/indrans-chopra,Ongoing,2028,"Drawing, Photography",O+,Indian
Armaan Raval,REG1171,Partial Payment,Due,86.69,No,Eligible,8641482287,mehulvasa@kata.net,2003-07-15,Engineering,6.03,2022-12-31,Civil,9295683134,Parent of Armaan Raval,H135,Bike,https://linkedin.com/in/armaan-raval,Completed,2026,"Music, Reading",AB+,Indian
Gokul Sarkar,REG1172,Paid in Full,No Due,75.67,No,Eligible,5954456625,divanzaina@gmail.com,2005-10-25,Arts,7.55,2025-06-17,Computer Science,9546861731,Parent of Gokul Sarkar,H232,Car,https://linkedin.com/in/gokul-sarkar,Ongoing,2029,"Sports, Reading",B-,Indian
Yuvraj  Sanghvi,REG1173,Paid in Full,No Due,65.0,No,Not Eligible,6965267829,gardezoya@tailor.com,2003-06-25,Engineering,9.62,2021-10-23,AI & DS,9581012325,Parent of Yuvraj  Sanghvi,H326,Walk,https://linkedin.com/in/yuvraj--sanghvi,Not Started,2025,"Drawing, Coding",O-,Indian
Prerak Chacko,REG1174,Paid in Full,No Due,81.71,No,Eligible,336502677,gopalnakul@yahoo.com,2002-02-11,Arts,5.32,2020-12-12,Computer Science,9019632182,Parent of Prerak Chacko,H183,Bike,https://linkedin.com/in/prerak-chacko,Not Started,2024,"Music, Travel",AB+,Indian
Elakshi Chauhan,REG1175,Pending,Due,83.86,Yes,Eligible,8326478022,aliabava@gmail.com,2001-06-25,Science,8.63,2020-07-17,AI & DS,9384033797,Parent of Elakshi Chauhan,H298,Walk,https://linkedin.com/in/elakshi-chauhan,Not Started,2024,"Photography, Music",O-,Indian
Veer Goyal,REG1176,Pending,Due,74.1,Yes,Not Eligible,3806496672,boaseonkar@gmail.com,2007-05-13,Engineering,9.62,2025-09-26,AI & DS,9442829071,Parent of Veer Goyal,H72,Car,https://linkedin.com/in/veer-goyal,Ongoing,2029,"Travel, Travel",AB-,Indian
Hridaan Bhattacharyya,REG1177,Pending,Due,63.2,Yes,Eligible,4374730990,xmangal@rao-korpal.org,2006-05-26,Science,5.88,2025-05-19,AI & DS,9521656583,Parent of Hridaan Bhattacharyya,H84,Car,https://linkedin.com/in/hridaan-bhattacharyya,Ongoing,2029,"Drawing, Photography",AB-,Indian
Zaina Kala,REG1178,Paid in Full,No Due,72.84,Yes,Not Eligible,915889233537,trivedinishith@boase.com,2004-10-08,Arts,5.38,2022-12-25,Civil,9166605789,Parent of Zaina Kala,H290,Walk,https://linkedin.com/in/zaina-kala,Ongoing,2026,"Travel, Travel",O-,Indian
Riya Kalla,REG1179,Partial Payment,Due,69.89,No,Not Eligible,8037168430,uvarughese@shan.biz,2004-03-23,Science,7.16,2023-08-22,Mechanical,9941386850,Parent of Riya Kalla,H351,Bike,https://linkedin.com/in/riya-kalla,Completed,2027,"Drawing, Sports",B+,Indian
Hrishita Chaudhry,REG1180,Pending,Due,87.8,No,Not Eligible,5853963678,lkamdar@gmail.com,2000-07-09,Arts,6.37,2020-07-08,Civil,9796185649,Parent of Hrishita Chaudhry,H150,Walk,https://linkedin.com/in/hrishita-chaudhry,Ongoing,2024,"Reading, Music",A-,Indian
Siya Grewal,REG1181,Partial Payment,Due,98.52,No,Eligible,8610385282,zvig@dani.com,2004-06-11,Science,7.02,2022-11-17,Electronics,9366538495,Parent of Siya Grewal,H496,Car,https://linkedin.com/in/siya-grewal,Ongoing,2026,"Sports, Reading",AB-,Indian
Ritvik Khanna,REG1182,Paid in Full,No Due,73.67,No,Eligible,914980907768,aaryahi38@setty.info,2007-04-23,Science,5.95,2027-03-15,Computer Science,9151430426,Parent of Ritvik Khanna,H427,Bike,https://linkedin.com/in/ritvik-khanna,Completed,2031,"Coding, Travel",B+,Indian
